1, 1
3, 2
6, 4
10, 4
15, 4
21, 4
28, 6
36, 9
45, 6
55, 4
66, 8
78, 8
91, 4
105, 8
120, 16
136, 8
153, 6
171, 6
190, 8
210, 16
231, 8
253, 4
276, 12
300, 18
325, 6
351, 8
378, 16
406, 8
435, 8
465, 8
496, 10
528, 20
561, 8
595, 8
630, 24
666, 12
703, 4
741, 8
780, 24
820, 12
861, 8
903, 8
946, 8
990, 24
1035, 12
1081, 4
1128, 16
1176, 24
1225, 9
1275, 12
1326, 16
1378, 8
1431, 8
1485, 16
1540, 24
1596, 24
1653, 8
1711, 4
1770, 16
1830, 16
1891, 4
1953, 12
2016, 36
2080, 24
2145, 16
2211, 8
2278, 8
2346, 16
2415, 16
2485, 8
2556, 18
2628, 18
2701, 4
2775, 12
2850, 24
2926, 16
3003, 16
3081, 8
3160, 16
3240, 40
3321, 10
3403, 4
3486, 16
3570, 32
3655, 8
3741, 8
3828, 24
3916, 12
4005, 12
4095, 24
4186, 16
4278, 16
4371, 8
4465, 8
4560, 40
4656, 20
4753, 6
4851, 18
4950, 36
5050, 12
5151, 8
5253, 8
5356, 12
5460, 48
5565, 16
5671, 4
5778, 16
5886, 16
5995, 8
6105, 16
6216, 32
6328, 16
6441, 8
6555, 16
6670, 16
6786, 24
6903, 12
7021, 8
7140, 48
7260, 36
7381, 6
7503, 8
7626, 16
7750, 16
7875, 24
8001, 12
8128, 14
8256, 28
8385, 16
8515, 8
8646, 16
8778, 32
8911, 8
9045, 16
9180, 48
9316, 12
9453, 8
9591, 8
9730, 16
9870, 32
10011, 8
10153, 8
10296, 48
10440, 48
10585, 8
10731, 12
10878, 24
11026, 8
11175, 12
11325, 12
11476, 12
11628, 36
11781, 24
11935, 16
12090, 32
12246, 16
12403, 4
12561, 8
12720, 40
12880, 40
13041, 20
13203, 10
13366, 8
13530, 32
13695, 16
13861, 4
14028, 24
14196, 36
14365, 12
14535, 24
14706, 24
14878, 8
15051, 8
15225, 24
15400, 48
15576, 32
15753, 8
15931, 4
16110, 24
16290, 24
16471, 8
16653, 16
16836, 24
17020, 24
17205, 16
17391, 16
17578, 16
17766, 32
17955, 32
18145, 8
18336, 24
18528, 24
18721, 4
18915, 16
19110, 48
19306, 12
19503, 12
19701, 12
19900, 18
20100, 36
20301, 8
20503, 8
20706, 32
20910, 32
21115, 8
21321, 12
21528, 48
21736, 32
21945, 32
22155, 16
22366, 8
22578, 16
22791, 8
23005, 8
